,Unnamed: 0,book_id,book_language,book_series_number,book_title,book_author,book_year,sentence_page,sentence_id,sentence_language,sentence_type,sentence_number,sentence_text,sentence_sentiment_score,sentence_lda,sentence_lda_scores
0,0,1,en,4.1,On Weaving,Anni Albers,1974,141,1,en,text,1,Plate 59. Tapestry construction,0,"['plate', 'common', 'shap']","[0.602, 0.583, 0.563]"
1,1,1,en,4.1,On Weaving,Anni Albers,1974,198,2,en,text,2,"Plate Credits Plate 1. Earliest known representation of a loom. Predynastic Egyptian pottery, ca. 3400 B.C. Courtesy: Ciba Review, No. 16,December 1938.",0,"['wert', 'represent', 'applianc', 'heut', 'leg', 'research']","[0.458, 0.265, 0.242, 0.635, 0.314, 0.291]"
2,2,1,en,4.1,On Weaving,Anni Albers,1974,198,3,en,text,3,"2. Loom from Bougainville Island. Cortesy: Museum fur Volkerkunde, Basel.",0,[],[]
3,3,1,en,4.1,On Weaving,Anni Albers,1974,198,4,en,text,4,"560 B.C. Courtesy: The Metropolitan Museum of Art (Fletcher Fund, 19321), Newyork.",0,"['museum', 'stuttgart', 'journal']","[0.597, 0.569, 0.544]"
4,4,1,en,4.1,On Weaving,Anni Albers,1974,198,5,en,text,5,Peruvian weavers at work on back-strap loom.,0.136,"['industri', 'inner', 'experienc', 'water', 'sprech', 'american']","[0.571, 0.47, 0.462, 0.371, 0.333, 0.319]"
5,5,1,en,4.1,On Weaving,Anni Albers,1974,198,6,en,text,6,5· Back-strap loom (diagram) of the type used in Peru.,0,"['creation', 'similar', 'type', 'water', 'sprech', 'american']","[0.456, 0.409, 0.4, 0.342, 0.304, 0.29]"
6,6,1,en,4.1,On Weaving,Anni Albers,1974,198,7,en,text,7,A transitional loom with bark strap andd foot treadle.,0,"['water', 'sprech', 'american', 'gut', 'bread', 'away']","[0.43, 0.392, 0.378, 0.535, 0.383, 0.302]"
7,7,1,en,4.1,On Weaving,Anni Albers,1974,198,8,en,text,8,"From A Study of Okinawan Textile Fabrics, by Toshio and Reiko tanaka, copyright © 1952 by Meiji-shobo Ltd.",0,"['industriell', 'knowledg', 'suggest', 'school', 'england', 'train']","[0.415, 0.4, 0.396, 0.422, 0.419, 0.409]"
8,8,1,en,4.1,On Weaving,Anni Albers,1974,198,9,en,text,9,One man (in center of photograph) is supervising the weaving of the looms shown here - in some cases as many as one hundred looms.,0.2,"['heut', 'leg', 'research', 'number', 'weav', 'thread']","[0.721, 0.4, 0.377, 0.243, 0.237, 0.205]"
9,9,1,en,4.1,On Weaving,Anni Albers,1974,198,10,en,text,10,"It is also the so-called Lake-dwelling knot, Neolithic, Robenhausen, Switzerland.",0,"['close', 'previous', 'lamp', 'hous', 'fort', 'vacuum']","[0.322, 0.249, 0.248, 0.282, 0.264, 0.263]"
10,10,1,en,4.1,On Weaving,Anni Albers,1974,198,11,en,text,11,"After Junius Bird, Handweaver & Craftsman, Vol. 3, No. 3, 1952.",0,"['salon', 'respons', 'indic', 'observ', 'lung', 'agricultur']","[0.41, 0.386, 0.383, 0.422, 0.399, 0.392]"
11,11,1,en,4.1,On Weaving,Anni Albers,1974,52,12,en,text,12,CHAPTER SIX Early Techniques of Thread Interlacing BEGINNINGS are usually more interesting than elaborations and endings.,0.367,"['number', 'weav', 'thread', 'year', 'high', 'earli']","[0.322, 0.316, 0.284, 0.382, 0.335, 0.331]"
