id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_24pg.png,no discription,24,-,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_26pg.png,example of poit forms,26,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_31pg.png,no discription,31,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_34pg.png,"Star cluster of Hercules(Newcomb-Engelmann´s Popul. Astronomie, Leipzig, 1921)",34,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_36pg.png,"Nitrate-forming nodule, enlarged 100times",36,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_37pg.png,Ling-ying-si Gate,37,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_38pg.png,Pagora of the Dragon Beauty in Shanghai,38,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_39pg.png,Graphic diagram of the leap show in the photograph opposite,39,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_40pg.png,A leap of the dancer Palucca,40,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_42pg.png,The above music translated into point,42,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_43pg(1).png,The above music translated into point,43,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_43pg(2).png,The above music translated into point,43,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_44pg.png,Theme 2 translated into points,44,,Point,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_50pg.png,Concentric compelx of points of free form,50,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_51pg.png,a large pint formed out of small points(spray technique),51,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_58pg(1).png,Basic tzpes of geometric straight lines,58,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_58pg(2).png,Diagram of basic tzpes,58,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_59pg(1).png,Diagram of deviations in temperature,59,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_59pg(2).png,Condensation,59,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_59pg(3).png,Circle as result of condensation,59,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_60pg(1).png,"Free straight lines, centric",60,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_60pg(2).png,"Free straight lines, acentric",60,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_62pg.png,no discription,62,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_63pg.png,Graphic represntation of the descent,63,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_65pg.png,prototzpe of linear expression,65,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_68pg.png,The simplest forms of angular lines,68,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_69pg.png,Examples of angular lines,69,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_70pg(1).png,no discription,70,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_70pg(2).png,no discription,70,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_72pg(1).png,System of typical angles,70,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_72pg(2).png,angle measurements,72,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_73pg(1).png,Acute angle,73,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_73pg(2).png,right angle,73,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_73pg(3).png,obtuse angle,73,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_77pg(1).png,Free many angled lines,77,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_79pg(1).png,Tensions of straight and curved lines,79,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_79pg(2).png,the primarz contrasting pair of lines,79,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_80pg(1).png,Developing circle,80,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_80pg(2).png,Developing spiral,80,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_81pg(1).png,the primarz contrasting pair of planes,81,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_83pg(1).png,no discription,83,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_84pg(1).png,wave like line,84,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_84pg(2).png,no discription,84,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_85pg(1).png,curved free wave like,85,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_85pg(2).png,curved free wave like,85,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_86pg(1).png,curved free wave like,86,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_87pg(1).png,curved free wave like,87,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_87pg(2).png,curved free wave like,87,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_88pg(1).png,Geometric curve in ascent,88,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_88pg(2).png,"The smae, with uniformly decreasing emphasis whereby heightened tension of ascent is attained",88,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_89pg(1).png,spontaneous accentuations of a free curved line,89,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_93pg(1).png,Some simple examples of rhythm,93,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_94pg(1).png,no discription,94,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_94pg(2).png,no discription,94,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_94pg(3).png,no discription,94,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_95pg(1).png,Contrasting combination of a curved line with an angular line. The characteristics of both acquire a strengthend sound,95,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_95pg(2).png,curved lines running along with each other,95,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_96pg(1).png,running apart,95,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_101pg(1).png,Diagram of a sailing vessel.,101,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_101pg(2).png,Rectification of the cirve of an electrical current in graphic representation,101,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
,/Users/ohyoungmo/Bauhausorbits/09_PointLinetoPlaneDE/09_PointLinetoPlaneDE_102pg(1).png,Framwork of a motor freightship,102,,Line,Kandinsky Punkt und Linie zu Fläche,Wassily Kandinsky
